Jméno;Příjmení;RČ;Adresa;Telefon 1;Telefon 2
Čestmír;Schindler;9001019161;Bohuslava Martinů 61 Brno;586817540;784691604
Taras;Vomáčka;9001019162;Bochořákova 62 Brno;846342677;158928875
Zuzana;Müllerová;9001019163;Bolzanova 63 Brno;750590086;325924614
Kateřina;Szilágyiová;9001019164;Borkovcova 64 Brno;784259106;324426206
Mykola;Toman;9001019165;Borky 65 Brno;745905655;600551812
Dana;Zářecká;9001019166;Borodinova 66 Brno;157249124;645625969
Emil;Havlík;9001019167;Borová 67 Brno;369290949;699228338
Ondřej;Kraps;9001019168;Borůvková 68 Brno;490568615;275581042
Radka;Kroužková;9001019169;Bořetická 69 Brno;986307344;863824327
Robin;Balog;9001019170;Boří 70 Brno;645851242;383776421
Petra;Starobová;9001019171;Bořivojova 71 Brno;819764751;295623361
Martina;Svobodová;9001019172;Boskovická 72 Brno;827217282;869106944
Zbyněk;Vokoun;9001019173;Bosonožská 73 Brno;257878695;153755051
Veronika;Genčurová;9001019174;Bosonožské náměstí 74 Brno;711723551;239912882
Jiřina;Mikulecká;9001019175;Botanická 75 Brno;261835961;267056262
David;Šmíd;9001019176;Boženy Antonínové 76 Brno;490607279;945066206
Ludmila;Dovrtělová;9001019177;Boženy Němcové 77 Brno;763271598;816388640
Lukáš;Žalud;9001019178;Božetěchova 78 Brno;167618958;559116111
Vlasta;Vajdová;9001019179;Bráfova 79 Brno;755785102;144432423
Jaromír;Jiřina;9001019180;Brandlova 80 Brno;659353564;871367712
Zdenka;Chadimová;9001019181;Branka 81 Brno;828799540;385562086
Marcela;Michnová;9001019182;Bratislavská 82 Brno;192990640;244892519
Radek;Malínský;9001019183;Bratří Čapků 83 Brno;253870299;766837213
Leona;Měsícová;9001019184;Bratří Křičků 84 Brno;297788574;17908253
Simona;Horáková;9001019185;Bratří Mrštíků 85 Brno;838304686;339489156
Markéta;Nováková;9001019186;Bratří Pelíšků 86 Brno;849375452;987251253
Blažena;Miľová;9001019187;Bratří Sapáků 87 Brno;412981360;214641080
Andrej;Kostohryz;9001019188;Bratří Šmardů 88 Brno;753186925;294454853
Oldřich;Štěpán;9001019189;Bratří Žůrků 89 Brno;282802244;651761794
Libor;Kačala;9001019190;Brechtova 90 Brno;596030566;950530560
Stanislav;Zedek;9001019191;Breitcetlova 91 Brno;267940769;413679320
Naděžda;Lazarová;9001019192;Brigádnická 92 Brno;112690496;78677762
Šárka;Orságová;9001019193;Brněnská přehrada 93 Brno;744016694;788428922
Antonie;Trunecká;9001019194;Broskvoňová 94 Brno;454438651;765508628
Ludvík;Žebrok;9001019195;Brožíkova 95 Brno;138059033;560470607
Blanka;Celuchová;9001019196;Břeclavská 96 Brno;494197342;598816983
Monika;Vídenská;9001019197;Břehová 97 Brno;360945225;971008679
Adam;Chmelíček;9001019198;Břenkova 98 Brno;531983035;696733321
Jelena;Tvrdíková;9001019199;Břetislavova 99 Brno;275610314;249764646
